"","sender_cells","receiver_cells","ligand","receptor","prob"
"766","GSM1271964_E14_1_C57_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"767","GSM1271971_E14_1_C70_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"768","GSM1271972_E14_1_C73_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"769","GSM1271974_E14_1_C75_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"770","GSM1271975_E14_1_C76_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"771","GSM1271978_E14_1_C79_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"772","GSM1271984_E14_1_C87_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"773","GSM1271987_E14_1_C94_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"774","GSM1271988_E14_1_C95_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"775","GSM1271989_E14_1_C96_IL3938","GSM1272049_E16_1_C65_IL4148","Mdk","Sdc4",0.360872599986761
"776","GSM1271946_E14_1_C02_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"777","GSM1271947_E14_1_C05_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"778","GSM1271948_E14_1_C06_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"779","GSM1271949_E14_1_C09_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"780","GSM1271950_E14_1_C10_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"781","GSM1271951_E14_1_C14_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"782","GSM1271953_E14_1_C18_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"783","GSM1271954_E14_1_C22_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"784","GSM1271955_E14_1_C25_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"785","GSM1271957_E14_1_C39_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"786","GSM1271958_E14_1_C44_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"787","GSM1271959_E14_1_C46_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"788","GSM1271960_E14_1_C50_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"789","GSM1271962_E14_1_C54_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"790","GSM1271963_E14_1_C56_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"791","GSM1271964_E14_1_C57_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"792","GSM1271971_E14_1_C70_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"793","GSM1271972_E14_1_C73_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"794","GSM1271974_E14_1_C75_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"795","GSM1271975_E14_1_C76_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"796","GSM1271978_E14_1_C79_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"797","GSM1271984_E14_1_C87_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"798","GSM1271987_E14_1_C94_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"799","GSM1271988_E14_1_C95_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"800","GSM1271989_E14_1_C96_IL3938","GSM1272050_E16_1_C66_IL4148","Mdk","Sdc4",0.360872599986761
"801","GSM1271946_E14_1_C02_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"802","GSM1271947_E14_1_C05_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"803","GSM1271948_E14_1_C06_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"804","GSM1271949_E14_1_C09_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"805","GSM1271950_E14_1_C10_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"806","GSM1271951_E14_1_C14_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"807","GSM1271953_E14_1_C18_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"808","GSM1271954_E14_1_C22_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"809","GSM1271955_E14_1_C25_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"810","GSM1271957_E14_1_C39_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"811","GSM1271958_E14_1_C44_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"812","GSM1271959_E14_1_C46_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"813","GSM1271960_E14_1_C50_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"814","GSM1271962_E14_1_C54_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"815","GSM1271963_E14_1_C56_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"816","GSM1271964_E14_1_C57_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"817","GSM1271971_E14_1_C70_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"818","GSM1271972_E14_1_C73_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"819","GSM1271974_E14_1_C75_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"820","GSM1271975_E14_1_C76_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"821","GSM1271978_E14_1_C79_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"822","GSM1271984_E14_1_C87_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"823","GSM1271987_E14_1_C94_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"824","GSM1271988_E14_1_C95_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"825","GSM1271989_E14_1_C96_IL3938","GSM1272051_E16_1_C67_IL4148","Mdk","Sdc4",0.360872599986761
"826","GSM1271946_E14_1_C02_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"827","GSM1271947_E14_1_C05_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"828","GSM1271948_E14_1_C06_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"829","GSM1271949_E14_1_C09_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"830","GSM1271950_E14_1_C10_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"831","GSM1271951_E14_1_C14_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"832","GSM1271953_E14_1_C18_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"833","GSM1271954_E14_1_C22_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"834","GSM1271955_E14_1_C25_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"835","GSM1271957_E14_1_C39_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"836","GSM1271958_E14_1_C44_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"837","GSM1271959_E14_1_C46_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"838","GSM1271960_E14_1_C50_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"839","GSM1271962_E14_1_C54_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"840","GSM1271963_E14_1_C56_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"841","GSM1271964_E14_1_C57_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"842","GSM1271971_E14_1_C70_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"843","GSM1271972_E14_1_C73_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"844","GSM1271974_E14_1_C75_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"845","GSM1271975_E14_1_C76_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"846","GSM1271978_E14_1_C79_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"847","GSM1271984_E14_1_C87_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"848","GSM1271987_E14_1_C94_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"849","GSM1271988_E14_1_C95_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"850","GSM1271989_E14_1_C96_IL3938","GSM1272053_E16_1_C72_IL4148","Mdk","Sdc4",0.360872599986761
"851","GSM1271946_E14_1_C02_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"852","GSM1271947_E14_1_C05_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"853","GSM1271948_E14_1_C06_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"854","GSM1271949_E14_1_C09_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"855","GSM1271950_E14_1_C10_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"856","GSM1271951_E14_1_C14_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"857","GSM1271953_E14_1_C18_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"858","GSM1271954_E14_1_C22_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"859","GSM1271955_E14_1_C25_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"860","GSM1271957_E14_1_C39_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
"861","GSM1271958_E14_1_C44_IL3938","GSM1272059_E16_1_C90_IL4148","Mdk","Sdc4",0.360872599986761
